num_solved,num_optimized,,,,,,,,,,,,,,,,,
55,37,,,,,,,,,,,,,,,,,
file_name,lb,ub,num_var,num_clause,num_consistency_clause,num_PB_clause,zero_lits,one_lits,two_lits,three_lits,four_lits,five_to_ten,more_than_ten,feasible,make_span,total_solving_time,optimized,timeout
data_set/pack_d/Pack_d044.rcp,1771,3058,617517,10965421,9763023,891332,0,18391,10548500,398530,0,0,0,1,3050,7.65248,1,0
data_set/pack_d/Pack_d045.rcp,2712,2712,447960,6806376,5968283,657736,0,16315,6466176,323885,0,0,0,1,2712,0.0622,1,0
data_set/pack_d/Pack_d046.rcp,1564,3277,680062,15203201,13870586,980758,0,19703,14698133,485365,0,0,0,1,3277,314.80882,0,1
data_set/pack_d/Pack_d047.rcp,1482,2746,483580,9843152,8899516,689321,0,16517,9501456,325179,0,0,0,1,2745,20.43403,0,1
data_set/pack_d/Pack_d048.rcp,1195,2466,461877,9160416,8262196,653067,0,14837,8820492,325087,0,0,0,1,2446,4.49078,1,0
data_set/pack_d/Pack_d049.rcp,385,685,317159,1368226,750204,507906,0,4177,1135377,228672,0,0,0,1,675,26.98379,1,0
data_set/pack_d/Pack_d050.rcp,1495,2716,588834,10557970,9391539,858454,0,16339,10123110,418521,0,0,0,1,2716,121.00792,0,1
data_set/pack_d/Pack_d051.rcp,497,867,420624,2040431,1214652,671444,0,5263,1731772,303396,0,0,0,1,838,28.19108,1,0
data_set/pack_d/Pack_d052.rcp,1624,2308,453159,8308095,7420336,655702,0,13889,7968875,325331,0,0,0,1,2253,4.41882,1,0
data_set/pack_d/Pack_d053.rcp,2521,2521,469593,6958329,6052310,674836,0,15169,6618220,324940,0,0,0,1,2521,0.40141,1,0
data_set/pack_d/Pack_d054.rcp,2026,2781,752272,9197055,7736830,1202701,0,27855,8640738,528462,0,0,0,1,2750,9.52429,1,0
data_set/pack_d/Pack_d055.rcp,2030,2628,371376,7013718,6291670,511179,0,15811,6746415,251492,0,0,0,1,2628,3.32059,1,0
