file_name,num_var,num_clause,zero_lits,one_lits,two_lits,three_lits,four_lits,five_to_ten,more_than_ten,feasible,make_span,total_encoding_time,total_solving_time,optimized,timeout
data_set/j90.sm/j901_1.sm,27947,75466,0,1048,56927,17356,0,4,131,True,73,166.12743,187.2574,True,False
data_set/j90.sm/j901_2.sm,44899,120591,0,1097,89921,29438,0,1,134,True,92,289.85434,29.48914,True,False
data_set/j90.sm/j901_3.sm,27849,73726,0,877,54558,18156,0,1,134,True,66,169.64035,61.36634,True,False
data_set/j90.sm/j901_4.sm,33493,92826,0,1058,70706,20927,0,0,135,True,86,185.39021,43.19244,True,False
data_set/j90.sm/j901_5.sm,38886,104505,0,1063,78766,24541,0,0,135,True,87,216.2465,29.8267,True,False
data_set/j90.sm/j901_6.sm,30842,82343,0,766,61598,19844,0,0,135,True,74,232.78599,46.36081,True,False
data_set/j90.sm/j901_7.sm,34893,96820,0,1115,73653,21917,0,1,134,True,91,244.04868,33.27533,True,False
data_set/j90.sm/j901_8.sm,39193,110361,0,1158,84678,24390,0,0,135,True,95,277.46826,69.27424,True,False
data_set/j90.sm/j901_9.sm,31928,83431,0,965,62021,20310,0,1,134,True,72,243.90056,81.82609,True,False
data_set/j90.sm/j901_10.sm,36592,100056,0,1084,75658,23179,1,7,127,True,90,310.39105,70.08518,True,False
data_set/j90.sm/j902_1.sm,63112,160946,0,1098,114824,44889,0,0,135,True,96,389.33497,52.75814,True,False
data_set/j90.sm/j902_2.sm,74027,191613,0,1539,138729,51210,0,0,135,True,114,457.2853,44.07087,True,False
data_set/j90.sm/j902_3.sm,36129,92270,0,991,66845,24300,0,0,134,True,75,209.11683,27.85599,True,False
data_set/j90.sm/j902_4.sm,35237,88469,0,934,62058,25342,0,0,135,True,70,160.55536,16.09921,True,False
data_set/j90.sm/j902_5.sm,57831,151080,0,1180,109067,40698,0,0,135,True,100,341.62552,31.7319,True,False
data_set/j90.sm/j902_6.sm,34661,85923,0,863,60710,24215,0,3,132,True,67,163.47427,24.06655,True,False
data_set/j90.sm/j902_7.sm,52472,135842,0,1083,97375,37249,0,0,135,True,92,295.02363,26.97339,True,False
data_set/j90.sm/j902_8.sm,33262,83599,0,853,58814,23811,0,0,121,True,82,177.86956,24.40977,True,False
data_set/j90.sm/j902_9.sm,34256,86389,0,1000,62128,23133,0,5,123,True,79,171.98969,18.32572,True,False
data_set/j90.sm/j902_10.sm,41876,107044,0,962,77837,28110,0,0,135,True,80,194.00918,26.01278,True,False
data_set/j90.sm/j903_1.sm,51454,125723,0,996,87543,37049,0,2,133,True,81,269.03355,28.12354,True,False
data_set/j90.sm/j903_2.sm,57232,141447,0,1196,99099,41017,0,3,132,True,84,280.02579,56.97705,True,False
data_set/j90.sm/j903_3.sm,36024,88268,0,871,61685,25582,0,4,126,True,71,179.7306,23.66161,True,False
data_set/j90.sm/j903_4.sm,65974,169051,0,1250,121857,45809,0,0,135,True,104,496.40321,68.634,True,False
data_set/j90.sm/j903_5.sm,41432,100479,0,869,67367,32108,0,7,128,True,75,201.72725,37.74997,True,False
data_set/j90.sm/j903_6.sm,33247,81758,0,959,56793,23879,0,10,117,True,68,190.52249,20.73723,True,False
data_set/j90.sm/j903_7.sm,55697,141690,0,1319,100729,39511,0,0,131,True,87,294.00509,45.25412,True,False
data_set/j90.sm/j903_8.sm,49797,126776,0,1114,90308,35220,0,0,134,True,86,248.56787,23.53687,True,False
data_set/j90.sm/j903_9.sm,30045,73220,0,682,50404,22004,0,1,129,True,61,133.51103,17.46382,True,False
data_set/j90.sm/j903_10.sm,27663,68304,0,867,47311,19996,0,8,122,True,65,130.53176,24.11327,True,False
data_set/j90.sm/j904_1.sm,70886,173118,0,1066,119789,52128,0,0,135,True,93,358.68345,44.74807,True,False
data_set/j90.sm/j904_2.sm,59553,146741,0,1081,102188,43338,0,0,134,True,89,272.37193,28.81667,True,False
data_set/j90.sm/j904_3.sm,38342,91606,0,893,61699,28886,0,11,117,True,67,182.55208,21.77481,True,False
data_set/j90.sm/j904_4.sm,65742,160105,0,1220,108508,50242,0,5,130,True,92,358.52278,56.01588,True,False
data_set/j90.sm/j904_5.sm,56508,142364,0,1221,99995,41013,0,1,134,True,88,268.85735,44.51211,True,False
data_set/j90.sm/j904_6.sm,46015,110556,0,819,75365,34237,0,5,130,True,78,233.89628,66.39201,True,False
data_set/j90.sm/j904_7.sm,40561,99518,0,755,68368,30260,0,0,135,True,80,210.19582,23.48776,True,False
data_set/j90.sm/j904_8.sm,40232,96294,0,886,65520,29756,0,1,131,True,69,196.54192,26.87763,True,False
data_set/j90.sm/j904_9.sm,40549,100521,0,1130,69426,29835,1,8,121,True,79,219.12929,26.36665,True,False
data_set/j90.sm/j904_10.sm,39370,93823,0,896,62407,30386,0,0,134,True,68,163.86105,21.27942,True,False
data_set/j90.sm/j905_1.sm,102711,228794,0,927,154318,73414,0,0,135,True,78,399.44293,3066.4208,True,False
data_set/j90.sm/j905_2.sm,113526,256945,0,1257,178343,77210,0,0,135,True,93,479.09024,43592.12562,True,False
data_set/j90.sm/j905_3.sm,106430,241561,0,976,168009,72441,0,0,135,False,0,436.3375,0,False,True
data_set/j90.sm/j905_4.sm,134157,307605,0,1200,213538,92732,0,0,135,True,103,1232.72605,1970768.18945,False,True
data_set/j90.sm/j905_5.sm,139695,323251,0,1391,227501,94224,0,0,135,False,0,1042.44122,0,False,True
data_set/j90.sm/j905_6.sm,99549,225658,0,1074,155483,68966,0,0,135,False,0,423.66002,0,False,True
data_set/j90.sm/j905_7.sm,139859,320834,0,1427,223907,95365,0,0,135,False,0,639.33328,0,False,True
data_set/j90.sm/j905_8.sm,109135,251668,0,1124,176084,74325,0,0,135,False,0,452.08028,0,False,True
data_set/j90.sm/j905_9.sm,125609,295501,0,1483,213154,80729,0,0,135,False,0,616.9411,0,False,True
data_set/j90.sm/j905_10.sm,119220,271630,0,1181,189257,81057,0,0,135,False,0,477.91965,0,False,True
data_set/j90.sm/j906_1.sm,112139,240626,0,1002,151055,88438,0,2,129,True,82,488.36594,77.93035,True,False
data_set/j90.sm/j906_2.sm,147606,319685,0,940,205879,112731,0,0,135,True,86,609.59313,179.31443,True,False
data_set/j90.sm/j906_3.sm,106477,231937,0,998,152549,78256,0,0,134,True,77,457.8907,839.19455,True,False
data_set/j90.sm/j906_4.sm,154094,329026,0,947,205294,122650,0,3,132,True,80,905.15337,180.27066,True,False
data_set/j90.sm/j906_5.sm,93011,199753,0,997,127994,70634,0,4,124,True,71,365.81656,104.58885,True,False
data_set/j90.sm/j906_6.sm,167519,365477,0,1170,235047,129125,0,4,131,True,98,743.40555,109.71729,True,False
data_set/j90.sm/j906_7.sm,121508,256772,0,860,159145,96633,0,1,133,True,71,506.48676,63.29723,True,False
data_set/j90.sm/j906_8.sm,84194,178850,0,853,113238,64627,0,11,121,True,68,306.98515,1276.1581,True,False
data_set/j90.sm/j906_9.sm,73714,156760,0,685,97771,58172,0,7,125,True,68,267.55307,78.66901,True,False
data_set/j90.sm/j906_10.sm,166063,361518,0,1147,231464,128772,0,0,135,True,94,814.48734,208.15625,True,False
data_set/j90.sm/j907_1.sm,145497,306917,0,1321,183841,121622,0,8,125,True,88,725.67571,119.04842,True,False
data_set/j90.sm/j907_2.sm,164030,343517,0,874,205492,137016,0,3,132,True,77,846.98031,130.10998,True,False
data_set/j90.sm/j907_3.sm,150022,316967,0,1011,194379,121444,0,0,133,True,80,619.0985,93.77382,True,False
data_set/j90.sm/j907_4.sm,163550,349272,0,1106,218207,129827,0,0,132,True,86,635.27752,106.15338,True,False
data_set/j90.sm/j907_5.sm,135305,285699,0,967,177356,107246,0,0,130,True,79,540.5036,78.83181,True,False
data_set/j90.sm/j907_6.sm,178824,382415,0,1284,239415,141583,0,0,133,True,90,761.16526,68.79111,True,False
data_set/j90.sm/j907_7.sm,214476,452034,0,1183,273660,177056,2,0,133,True,90,898.10526,96.86045,True,False
data_set/j90.sm/j907_8.sm,93852,194794,0,832,115402,78430,0,21,109,True,60,325.88966,61.72221,True,False
data_set/j90.sm/j907_9.sm,113896,244580,0,1068,154367,89014,0,0,131,True,83,430.47661,60.06101,True,False
data_set/j90.sm/j907_10.sm,183272,391595,0,1125,241503,148832,0,0,135,True,98,794.31941,110.89881,True,False
data_set/j90.sm/j908_1.sm,234264,494901,0,1196,297579,195991,0,0,135,True,96,1005.7826,166.4115,True,False
