num_fesible,num_optimize,,,,,,,,,,,,,,,,,,
407,401,,,,,,,,,,,,,,,,,,
file_name,lb,ub,num_var,num_clause,num_consistency_clause,num_PB_clause,zero_lits,one_lits,two_lits,three_lits,four_lits,five_to_ten,more_than_ten,feasible,make_span,total_encoding_time,total_solving_time,optimized,timeout
data_set/j90.sm/j904_10.sm,68,68,39370,93823,13283,50422,0,896,62407,30386,0,0,134,TRUE,68,130.55852,24.15471,TRUE,FALSE
data_set/j90.sm/j905_1.sm,78,78,102711,228794,19367,167016,0,927,154318,73414,0,0,135,TRUE,78,308.96328,2973.3752,TRUE,FALSE
data_set/j90.sm/j905_2.sm,93,93,113526,256945,23843,181924,0,1257,178343,77210,0,0,135,TRUE,93,358.59713,6519.99876,TRUE,FALSE
data_set/j90.sm/j905_3.sm,82,87,106430,241561,22378,169901,0,976,168009,72441,0,0,135,FALSE,0,328.46774,0,FALSE,TRUE
data_set/j90.sm/j905_4.sm,101,103,134157,307605,31401,217180,0,1200,213538,92732,0,0,135,TRUE,103,896.147,211629.6351,FALSE,TRUE
data_set/j90.sm/j905_5.sm,107,111,139695,323251,33817,219966,0,1391,227501,94224,0,0,135,FALSE,0,477.33933,0,FALSE,TRUE
data_set/j90.sm/j905_6.sm,85,86,97328,220538,21099,155280,0,1066,151947,67390,0,0,135,TRUE,86,618.15336,1487734.996,FALSE,TRUE
data_set/j90.sm/j905_7.sm,105,107,139859,320834,30510,222950,0,1427,223907,95365,0,0,135,FALSE,0,468.53148,0,FALSE,TRUE
data_set/j90.sm/j905_8.sm,96,102,109135,251668,26762,173210,0,1124,176084,74325,0,0,135,FALSE,0,341.59571,0,FALSE,TRUE
data_set/j90.sm/j905_9.sm,113,115,123781,291146,33298,189562,0,1475,210002,79534,0,0,135,TRUE,115,898.95921,1122275.339,FALSE,TRUE
data_set/j90.sm/j905_10.sm,94,96,119220,271630,26467,192943,0,1181,189257,81057,0,0,135,FALSE,0,365.25114,0,FALSE,TRUE
data_set/j90.sm/j906_1.sm,82,82,112139,240626,15535,189647,0,1002,151055,88438,0,2,129,TRUE,82,310.99025,36.511,TRUE,FALSE
data_set/j90.sm/j906_2.sm,86,86,147606,319685,22285,252624,0,940,205879,112731,0,0,135,TRUE,86,407.99402,49.96405,TRUE,FALSE
data_set/j90.sm/j906_3.sm,77,77,106477,231937,17495,178601,0,998,152549,78256,0,0,134,TRUE,77,296.24492,359.35175,TRUE,FALSE
data_set/j90.sm/j906_4.sm,80,80,154094,329026,19202,267569,0,947,205294,122650,0,3,132,TRUE,80,415.27022,57.86638,TRUE,FALSE
data_set/j90.sm/j906_5.sm,71,71,93011,199753,13334,158154,0,997,127994,70634,0,4,124,TRUE,71,233.01351,47.08111,TRUE,FALSE
data_set/j90.sm/j906_6.sm,98,98,167519,365477,26267,283971,0,1170,235047,129125,0,4,131,TRUE,98,525.22363,56.57849,TRUE,FALSE
data_set/j90.sm/j906_7.sm,71,71,121508,256772,14366,212040,0,860,159145,96633,0,1,133,TRUE,71,320.44738,53.15446,TRUE,FALSE
data_set/j90.sm/j906_8.sm,68,68,84194,178850,11574,144211,0,853,113238,64627,0,11,121,TRUE,68,213.96852,248.6456,TRUE,FALSE
data_set/j90.sm/j906_9.sm,68,68,73714,156760,10364,125271,0,685,97771,58172,0,7,125,TRUE,68,186.28282,41.42954,TRUE,FALSE
data_set/j90.sm/j906_10.sm,94,94,166063,361518,26309,285714,0,1147,231464,128772,0,0,135,TRUE,94,492.60633,54.38907,TRUE,FALSE
data_set/j90.sm/j907_1.sm,88,88,145497,306917,16911,252544,0,1321,183841,121622,0,8,125,TRUE,88,392.22541,59.1578,TRUE,FALSE
data_set/j90.sm/j907_2.sm,77,77,164030,343517,17319,289442,0,874,205492,137016,0,3,132,TRUE,77,425.65265,78.69953,TRUE,FALSE
data_set/j90.sm/j907_3.sm,80,80,150022,316967,17622,262893,0,1011,194379,121444,0,0,133,TRUE,80,394.90576,52.30678,TRUE,FALSE
data_set/j90.sm/j907_4.sm,86,86,163550,349272,20729,283789,0,1106,218207,129827,0,0,132,TRUE,86,431.70416,53.57815,TRUE,FALSE
data_set/j90.sm/j907_5.sm,79,79,135305,285699,15953,234391,0,967,177356,107246,0,0,130,TRUE,79,357.41175,50.30533,TRUE,FALSE
data_set/j90.sm/j907_6.sm,90,90,178824,382415,22506,309743,0,1284,239415,141583,0,0,133,TRUE,90,518.03727,60.25915,TRUE,FALSE
data_set/j90.sm/j907_7.sm,90,90,214476,452034,22476,378540,0,1183,273660,177056,2,0,133,TRUE,90,564.93141,93.87406,TRUE,FALSE
data_set/j90.sm/j907_8.sm,60,60,93852,194794,9474,164350,0,832,115402,78430,0,21,109,TRUE,60,228.90409,47.47985,TRUE,FALSE
data_set/j90.sm/j907_9.sm,83,83,113896,244580,16931,193084,0,1068,154367,89014,0,0,131,TRUE,83,313.98801,38.32678,TRUE,FALSE
data_set/j90.sm/j907_10.sm,98,98,183272,391595,25055,319420,0,1125,241503,148832,0,0,135,TRUE,98,526.84835,78.37987,TRUE,FALSE
data_set/j90.sm/j908_1.sm,96,96,234264,494901,26443,415911,0,1196,297579,195991,0,0,135,TRUE,96,610.17397,98.0025,TRUE,FALSE
data_set/j90.sm/j908_2.sm,78,78,150017,314810,15274,262282,0,1069,191193,122413,0,1,134,TRUE,78,394.98905,56.47515,TRUE,FALSE
data_set/j90.sm/j908_3.sm,70,70,145607,301433,14285,256929,0,833,175867,124598,0,8,127,TRUE,70,379.11539,64.72559,TRUE,FALSE
