file_name,num_var,num_clause,feasible,make_span,solve_time
data_set/j30.sm/j301_1.sm,2236,5846,1,43,0.01173
data_set/j30.sm/j301_2.sm,,,0,,0.01004
data_set/j30.sm/j301_3.sm,,,0,,0.01457
data_set/j30.sm/j301_4.sm,,,0,,0.02025
data_set/j30.sm/j301_5.sm,,,0,,0.01413
data_set/j30.sm/j301_6.sm,,,0,,0.01468
data_set/j30.sm/j301_7.sm,,,0,,0.01879
data_set/j30.sm/j301_8.sm,,,0,,0.01292
data_set/j30.sm/j301_9.sm,,,0,,0.0129
data_set/j30.sm/j301_10.sm,,,0,,0.01103
data_set/j30.sm/j302_1.sm,2152,5067,1,38,0.01014
data_set/j30.sm/j302_2.sm,2595,7013,1,51,0.01222
data_set/j30.sm/j302_3.sm,1628,4040,1,43,0.00947
data_set/j30.sm/j302_4.sm,1482,3555,1,43,0.0085
data_set/j30.sm/j302_5.sm,2658,6879,1,51,0.01264
data_set/j30.sm/j302_6.sm,3404,7985,1,47,0.01402
data_set/j30.sm/j302_7.sm,2934,7352,1,47,0.01285
data_set/j30.sm/j302_8.sm,3336,9190,1,54,0.01427
data_set/j30.sm/j302_9.sm,3076,8282,1,54,0.01373
data_set/j30.sm/j302_10.sm,2224,5559,1,43,0.01189
data_set/j30.sm/j303_1.sm,4702,13295,1,72,0.02022
data_set/j30.sm/j303_2.sm,2212,5181,1,40,0.01065
data_set/j30.sm/j303_3.sm,3577,9395,1,57,0.0154
data_set/j30.sm/j303_4.sm,7744,23113,1,98,0.03677
data_set/j30.sm/j303_5.sm,2780,7563,1,53,0.01405
data_set/j30.sm/j303_6.sm,3287,8328,1,54,0.01417
data_set/j30.sm/j303_7.sm,2100,5026,1,48,0.0109
data_set/j30.sm/j303_8.sm,2997,7382,1,54,0.01365
data_set/j30.sm/j303_9.sm,4669,12077,1,65,0.01911
data_set/j30.sm/j303_10.sm,3352,8834,1,59,0.01541
data_set/j30.sm/j304_1.sm,3165,7284,1,49,0.01397
data_set/j30.sm/j304_2.sm,4069,10650,1,60,0.01788
data_set/j30.sm/j304_3.sm,2528,6595,1,47,0.01259
data_set/j30.sm/j304_4.sm,2431,6638,1,57,0.01328
